Age-dependence of Ontogeny factor CYP2C19 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP2C19;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.377;0.912;2.76;25
8.53-9.09;8.8;0.349;0.718;2.05;25
9.09-9.6;9.3;0.297;1.08;3.16;25
9.6-10.1;9.91;0.411;1.16;1.62;25
10.1-10.8;10.3;0.313;1.02;2.99;25
10.8-11.3;11.1;0.47;0.908;2.92;25
11.3-11.7;11.5;0.445;0.822;2.13;25
11.7-12.2;11.9;0.397;0.684;2.63;25
12.2-12.7;12.5;0.342;0.822;1.98;25
12.7-13;12.9;0.443;0.978;2.49;25
13-13.5;13.2;0.412;1.03;3.12;25
13.5-13.9;13.7;0.451;0.948;2.56;25
13.9-14.5;14.2;0.306;1.05;3.32;25
14.5-15;14.8;0.342;1.02;2.46;25
15-15.4;15.2;0.395;0.849;3.06;25
15.4-16;15.7;0.399;1.13;2.84;25
16-16.6;16.3;0.474;0.926;2.73;25
16.6-17.1;16.9;0.433;1.07;3.74;25
17.1-17.6;17.3;0.404;0.907;2.4;25
17.6-18;17.9;0.459;1.07;2.56;25
;;;;;
reference values:;0.472;1.06;2.66;;
