Age-dependence of Ontogeny factor GI CYP2E1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP2E1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.546;0.926;1.41;25
8.53-9.09;8.8;0.606;0.945;1.58;25
9.09-9.6;9.3;0.548;0.889;1.51;25
9.6-10.1;9.91;0.568;1.04;1.55;25
10.1-10.8;10.3;0.611;1.01;1.49;25
10.8-11.3;11.1;0.488;0.938;1.34;25
11.3-11.7;11.5;0.613;0.902;1.64;25
11.7-12.2;11.9;0.662;1.02;1.51;25
12.2-12.7;12.5;0.736;0.988;1.5;25
12.7-13;12.9;0.63;0.841;1.73;25
13-13.5;13.2;0.672;1.04;1.96;25
13.5-13.9;13.7;0.59;0.88;1.56;25
13.9-14.5;14.2;0.639;0.964;1.83;25
14.5-15;14.8;0.565;1.01;1.59;25
15-15.4;15.2;0.671;1.08;1.84;25
15.4-16;15.7;0.654;1.05;1.61;25
16-16.6;16.3;0.664;1.06;1.79;25
16.6-17.1;16.9;0.661;1.04;1.43;25
17.1-17.6;17.3;0.717;1.18;1.85;25
17.6-18;17.9;0.625;0.999;1.72;25
;;;;;
reference values:;0.644;1.03;1.62;;
