Age-dependence of body surface area for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Body surface area [m²];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.00842;0.00964;0.0111;25
8.53-9.09;8.8;0.00907;0.0105;0.0127;25
9.09-9.6;9.3;0.0093;0.0107;0.0122;25
9.6-10.1;9.91;0.0104;0.0115;0.0127;25
10.1-10.8;10.3;0.0101;0.0114;0.0128;25
10.8-11.3;11.1;0.0106;0.0123;0.0148;25
11.3-11.7;11.5;0.0112;0.0129;0.0144;25
11.7-12.2;11.9;0.0108;0.0133;0.0162;25
12.2-12.7;12.5;0.0111;0.0135;0.0153;25
12.7-13;12.9;0.0127;0.0143;0.0172;25
13-13.5;13.2;0.0124;0.0134;0.0163;25
13.5-13.9;13.7;0.0133;0.0149;0.0182;25
13.9-14.5;14.2;0.013;0.015;0.0174;25
14.5-15;14.8;0.013;0.0157;0.0181;25
15-15.4;15.2;0.0141;0.0157;0.0179;25
15.4-16;15.7;0.0142;0.0163;0.0192;25
16-16.6;16.3;0.0124;0.016;0.0185;25
16.6-17.1;16.9;0.0137;0.0155;0.0186;25
17.1-17.6;17.3;0.0141;0.0167;0.0186;25
17.6-18;17.9;0.0138;0.0166;0.019;25
;;;;;
reference values:;0.0147;0.0174;0.0207;;
