Age-dependence of Ontogeny factor (albumin) for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor (albumin);;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.793;0.991;1.34;25
8.53-9.09;8.8;0.768;0.942;1.2;25
9.09-9.6;9.3;0.736;0.973;1.42;25
9.6-10.1;9.91;0.8;1.02;1.46;25
10.1-10.8;10.3;0.807;1.06;1.23;25
10.8-11.3;11.1;0.858;1.08;1.32;25
11.3-11.7;11.5;0.849;0.96;1.25;25
11.7-12.2;11.9;0.675;1.02;1.13;25
12.2-12.7;12.5;0.734;1.06;1.31;25
12.7-13;12.9;0.701;0.934;1.42;25
13-13.5;13.2;0.696;0.938;1.28;25
13.5-13.9;13.7;0.802;1.01;1.4;25
13.9-14.5;14.2;0.82;1.03;1.2;25
14.5-15;14.8;0.78;1.04;1.3;25
15-15.4;15.2;0.729;0.966;1.22;25
15.4-16;15.7;0.817;0.985;1.31;25
16-16.6;16.3;0.82;1;1.33;25
16.6-17.1;16.9;0.796;1.06;1.38;25
17.1-17.6;17.3;0.671;1;1.33;25
17.6-18;17.9;0.718;0.956;1.25;25
;;;;;
reference values:;0.751;1.02;1.43;;
