Time profiles of Raltegravir for Larson 2013 8y-18y 400mg FCT meal compared to simulated Raltegravir for Filmcoated_tablet_400mg_sd.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.00895;0.385;9.12
0.1;0.249;5.21;61.8
0.15;1.15;16.8;142
0.2;3.1;34.1;246
0.25;6.23;54.7;378
0.3;10.8;78;532
0.35;16.4;105;685
0.4;22.8;133;849
0.45;29.8;161;1.01e+03
0.5;38.3;190;1.15e+03
0.55;48;223;1.28e+03
0.6;57.9;255;1.4e+03
0.65;68.3;290;1.53e+03
0.7;79.5;326;1.63e+03
0.75;91.1;358;1.69e+03
0.8;104;394;1.71e+03
0.85;117;428;1.69e+03
0.9;131;458;1.69e+03
0.95;145;486;1.69e+03
1;157;521;1.69e+03
1.05;173;547;1.68e+03
1.1;189;569;1.65e+03
1.15;202;594;1.63e+03
1.2;214;622;1.63e+03
1.25;229;648;1.63e+03
1.3;240;668;1.64e+03
1.35;254;688;1.66e+03
1.4;266;711;1.68e+03
1.45;281;726;1.69e+03
1.5;293;744;1.68e+03
1.55;303;761;1.67e+03
1.6;316;779;1.68e+03
1.65;328;793;1.66e+03
1.7;344;799;1.65e+03
1.75;354;806;1.64e+03
1.8;364;820;1.64e+03
1.85;374;829;1.64e+03
1.9;384;838;1.66e+03
1.95;391;846;1.67e+03
2;396;851;1.68e+03
2.25;432;854;1.68e+03
2.5;451;857;1.59e+03
2.75;459;835;1.54e+03
3;445;823;1.48e+03
3.25;431;794;1.43e+03
3.5;410;762;1.34e+03
3.75;383;725;1.23e+03
4;351;680;1.16e+03
4.25;315;637;1.11e+03
4.5;288;596;1.04e+03
4.75;260;556;969
5;236;517;913
5.25;219;479;863
5.5;196;450;818
5.75;177;416;773
6;162;378;733
6.25;147;348;686
6.5;135;322;638
6.75;123;299;595
7;113;277;558
7.25;103;255;527
7.5;95.9;234;492
7.75;87.9;217;456
8;80.8;202;426
8.25;74.6;188;409
8.5;68.6;174;390
8.75;63.9;162;366
9;60.1;150;343
9.25;56.5;141;322
9.5;53.7;133;307
9.75;50.4;125;293
10;47.5;116;280
10.3;44.9;109;268
10.5;42.6;102;254
10.8;40.1;95.5;239
11;37.7;88.6;231
11.3;35.5;83.2;220
11.5;33.6;78.9;207
11.8;31.9;74.9;198
12;30.5;70;187
