"IndividualId","Time [min]","Organism|PeripheralVenousBlood|COMPOUND|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|COMPOUND|Concentration in container [µmol/l]","Organism|Lumen|COMPOUND|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,12.22475,14.69223,0
0,6,12.66804,13.15519,0
0,9,12.30512,11.52641,0
0,12,11.5664,10.37764,0
0,15,10.75135,9.529989,0
0,18,9.982654,8.870004,0
0,21,9.301143,8.337456,0
0,24,8.713185,7.897144,0
0,27,8.211641,7.526645,0
0,30,7.785061,7.210697,0
0,33,7.421651,6.93819,0
0,36,7.11066,6.700794,0
0,39,6.842861,6.49206,0
0,42,6.610571,6.306902,0
0,45,6.407491,6.141247,0
0,48,6.228481,5.991819,0
0,51,6.069334,5.856003,0
0,54,5.926629,5.731689,0
0,57,5.797618,5.617151,0
0,60,5.680086,5.51096,0
0,63,5.572219,5.41195,0
0,66,5.472536,5.319167,0
0,69,5.379825,5.231824,0
0,72,5.293102,5.149268,0
0,75,5.211562,5.070941,0
0,78,5.134539,4.996397,0
0,81,5.061472,4.92522,0
0,84,4.991898,4.857091,0
0,87,4.925419,4.791717,0
0,90,4.861705,4.728858,0
0,93,4.800487,4.668308,0
0,96,4.741529,4.609886,0
0,99,4.684638,4.553433,0
0,102,4.629645,4.49881,0
0,105,4.576403,4.44589,0
0,108,4.524773,4.39455,0
0,111,4.474655,4.344707,0
0,114,4.425921,4.296242,0
0,117,4.37849,4.249085,0
0,120,4.332277,4.203158,0
0,135,4.117027,3.98968,0
0,150,3.923629,3.798598,0
0,165,3.747349,3.625085,0
0,180,3.584829,3.465674,0
0,195,3.433676,3.317833,0
0,210,3.292063,3.179658,0
0,225,3.158598,3.049699,0
0,240,3.032263,2.926872,0
0,255,2.912268,2.810348,0
0,270,2.797973,2.699467,0
0,285,2.688865,2.593701,0
0,300,2.58454,2.492631,0
0,315,2.484663,2.395916,0
0,330,2.388949,2.303268,0
0,345,2.297156,2.214441,0
0,360,2.209068,2.129219,0
0,375,2.124497,2.047416,0
0,390,2.043274,1.968864,0
0,405,1.965248,1.893415,0
0,420,1.890279,1.82093,0
0,435,1.818235,1.751281,0
0,450,1.748996,1.68435,0
0,465,1.682443,1.62002,0
0,480,1.61847,1.558188,0
0,495,1.556967,1.498748,0
0,510,1.497839,1.441607,0
0,525,1.440991,1.386674,0
0,540,1.386335,1.333862,0
0,555,1.333785,1.283089,0
0,570,1.28326,1.234275,0
0,585,1.23468,1.187345,0
0,600,1.187971,1.142224,0
0,615,1.143059,1.098843,0
0,630,1.099874,1.057132,0
0,645,1.058348,1.017027,0
0,660,1.018417,0.9784659,0
0,675,0.9800205,0.9413885,0
0,690,0.9430972,0.9057368,0
0,705,0.9075915,0.8714565,0
0,720,0.8734495,0.8384956,0
0,735,0.8406156,0.8068001,0
0,750,0.8090415,0.7763233,0
0,765,0.7786797,0.7470193,0
0,780,0.7494801,0.7188395,0
0,795,0.7213998,0.6917425,0
0,810,0.6943965,0.665687,0
0,825,0.6684262,0.6406308,0
0,840,0.6434501,0.6165363,0
0,855,0.6194305,0.5933667,0
0,870,0.5963292,0.5710852,0
0,885,0.5741111,0.5496579,0
0,900,0.5527428,0.5290523,0
0,915,0.5321905,0.5092359,0
0,930,0.512423,0.4901782,0
0,945,0.4934108,0.4718508,0
0,960,0.4751238,0.4542246,0
0,975,0.4575341,0.4372727,0
0,990,0.4406156,0.4209695,0
0,1005,0.4243418,0.4052896,0
0,1020,0.4086877,0.3902088,0
0,1035,0.3936299,0.3757045,0
0,1050,0.3791453,0.3617541,0
0,1065,0.3652113,0.348336,0
0,1080,0.3518074,0.3354302,0
0,1095,0.3389129,0.3230166,0
0,1110,0.3265078,0.3110761,0
0,1125,0.3145738,0.2995908,0
0,1140,0.3030927,0.288543,0
0,1155,0.2920466,0.2779156,0
0,1170,0.2814193,0.2676928,0
0,1185,0.2711945,0.2578589,0
0,1200,0.2613565,0.2483986,0
0,1215,0.2518907,0.2392978,0
0,1230,0.2427829,0.2305428,0
0,1245,0.2340188,0.2221199,0
0,1260,0.2255857,0.2140165,0
0,1275,0.2174709,0.2062205,0
0,1290,0.2096617,0.1987196,0
0,1305,0.2021468,0.1915029,0
0,1320,0.1949149,0.1845594,0
0,1335,0.1879547,0.1778782,0
0,1350,0.1812562,0.1714496,0
0,1365,0.1748094,0.165264,0
0,1380,0.1686043,0.1593116,0
0,1395,0.1626319,0.1535838,0
0,1410,0.1568833,0.148072,0
0,1425,0.1513497,0.1427676,0
0,1440,0.146023,0.1376628,0
