"IndividualId","Time [min]","Organism|PeripheralVenousBlood|COMPOUND|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|COMPOUND|Concentration in container [µmol/l]","Organism|Lumen|COMPOUND|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,8.338149E-09,1.77134E-07,4.243838E-07
0,6,2.777334E-07,1.907475E-06,1.463705E-06
0,9,1.441638E-06,6.049345E-06,2.85842E-06
0,12,4.055984E-06,1.277401E-05,4.716367E-06
0,15,8.560666E-06,2.231135E-05,6.765717E-06
0,18,1.519002E-05,3.427045E-05,9.030558E-06
0,21,2.399009E-05,4.854459E-05,1.143613E-05
0,24,3.490779E-05,6.466665E-05,1.384185E-05
0,27,4.77192E-05,8.213963E-05,1.624812E-05
0,30,6.213524E-05,0.0001006344,1.865499E-05
0,33,7.787453E-05,0.0001199058,2.106191E-05
0,36,9.468512E-05,0.0001397622,2.34689E-05
0,39,0.0001123504,0.0001600514,2.587601E-05
0,42,0.000130688,0.0001806505,2.828329E-05
0,45,0.0001495459,0.0002014599,3.069082E-05
0,48,0.000168798,0.0002223979,3.309874E-05
0,51,0.0001883403,0.0002433981,3.550718E-05
0,54,0.0002080866,0.000264406,3.791632E-05
0,57,0.0002279661,0.000285377,4.032567E-05
0,60,0.00024792,0.0003062733,4.273504E-05
0,63,0.0002678994,0.0003270637,4.514444E-05
0,66,0.0002878637,0.0003477231,4.755389E-05
0,69,0.0003077793,0.000368231,4.996339E-05
0,72,0.0003276181,0.0003885708,5.237295E-05
0,75,0.0003473574,0.0004087295,5.47826E-05
0,78,0.0003669783,0.0004286967,5.719236E-05
0,81,0.0003864655,0.0004484645,5.960226E-05
0,84,0.0004058065,0.0004680268,6.201234E-05
0,87,0.0004249912,0.0004873792,6.442262E-05
0,90,0.0004440116,0.0005065188,6.683317E-05
0,93,0.0004628617,0.000525444,6.924399E-05
0,96,0.0004815367,0.0005441539,7.165494E-05
0,99,0.0005000329,0.0005626479,7.406589E-05
0,102,0.0005183477,0.0005809263,7.647685E-05
0,105,0.0005364791,0.0005989898,7.888784E-05
0,108,0.0005544259,0.00061684,8.129884E-05
0,111,0.0005721877,0.0006344787,8.370987E-05
0,114,0.0005897644,0.0006519082,8.612093E-05
0,117,0.0006071565,0.0006691308,8.853203E-05
0,120,0.0006243652,0.0006861495,9.094316E-05
0,135,0.0007077069,0.0007682909,0.0001029998
0,150,0.0007867374,0.0008458173,0.000115059
0,165,0.0008617648,0.000919153,0.0001271224
0,180,0.0009331047,0.0009886839,0.000139187
0,195,0.001001038,0.001054742,0.0001512517
0,210,0.001065824,0.001117626,0.0001633169
0,225,0.001127687,0.001177566,0.0001753638
0,240,0.001186547,0.001234243,0.0001872901
0,255,0.001242085,0.001287467,0.0001991052
0,270,0.001294383,0.001337482,0.0002108338
0,285,0.00134371,0.001384623,0.0002224943
0,300,0.001390362,0.001429206,0.0002341013
0,315,0.001434613,0.001471512,0.0002456665
0,330,0.001476702,0.001511773,0.0002571989
0,345,0.001516828,0.001550182,0.0002687057
0,360,0.00155516,0.0015869,0.0002801924
0,375,0.001591837,0.001622055,0.0002916634
0,390,0.001626976,0.001655756,0.000303122
0,405,0.001660676,0.001688095,0.0003145709
0,420,0.001693021,0.001719149,0.0003260122
0,435,0.001724085,0.001748985,0.0003374476
0,450,0.001753933,0.001777663,0.0003488783
0,465,0.001782623,0.001805235,0.0003603053
0,480,0.001810198,0.001831694,0.0003716861
0,495,0.001835901,0.001855482,0.0003826896
0,510,0.001858125,0.001875237,0.0003933199
0,525,0.001876532,0.001891134,0.0004036516
0,540,0.001891501,0.001903754,0.0004137426
0,555,0.001903575,0.001913666,0.0004235986
0,570,0.001912451,0.001919705,0.0004328871
0,585,0.001916743,0.001920713,0.0004416296
0,600,0.001916372,0.001917151,0.0004499253
0,615,0.001911977,0.00190988,0.0004578572
0,630,0.001904365,0.00189977,0.0004654921
0,645,0.001894292,0.001887585,0.0004728851
0,660,0.001882418,0.001873959,0.0004800809
0,675,0.001869283,0.001859397,0.0004871162
0,690,0.001855313,0.001844279,0.0004940122
0,705,0.001840444,0.00182789,0.0005004982
0,720,0.001822836,0.001807866,0.000506383
0,735,0.001801505,0.001783947,0.0005117622
0,750,0.001776676,0.001756708,0.0005167154
0,765,0.001748972,0.001726898,0.0005213087
0,780,0.001719078,0.001695233,0.0005255977
0,795,0.001687623,0.001662344,0.0005296295
0,810,0.001655152,0.001628743,0.0005334386
0,825,0.001621821,0.001594138,0.0005368619
0,840,0.001586644,0.001557251,0.0005398063
0,855,0.001549185,0.001518077,0.0005423392
0,870,0.001509694,0.001477064,0.0005445189
0,885,0.001468654,0.001434761,0.0005463951
0,900,0.00142656,0.001391676,0.0005480102
0,915,0.001383859,0.001348249,0.0005494009
0,930,0.001340938,0.001304845,0.0005505988
0,945,0.001298115,0.001261757,0.0005516313
0,960,0.001255646,0.001219217,0.0005525217
0,975,0.001213736,0.001177405,0.0005532901
0,990,0.001172546,0.001136456,0.000553954
